"genotype","n","mean","sd","se","min","max"
"BC",251,16.3491205605811,4.16093527629624,0.26263590580504,7.51515593352141,31.3514716625214
"BD",220,17.2320546847113,4.28772819527529,0.289078575953437,5.54810078938803,28.730479649135
"AC",231,19.3063244772737,4.41427489699392,0.290437965049551,7.84502639770508,30.5631616210937
"AD",232,19.962573966789,4.15392544451206,0.272718566242058,7.97809302288553,33.1632216170027
