"permutation","lod"
1,2.99960277165519
2,2.80619171491344
3,2.67273805250102
4,4.15378335050013
5,2.47702855907573
6,2.4170564962576
7,3.09015438242704
8,2.82253128816865
9,2.66892852217984
10,4.00246507221027
11,3.68415751922248
12,3.93846355690653
13,2.33494668430421
14,3.09246368892332
15,3.94382976455336
16,4.46996477358971
17,3.91381517951618
18,3.11022501023444
19,2.52176805314684
20,3.22025025096468
21,3.43143852059393
22,2.84531172023867
23,4.55531551040804
24,3.25754696762056
25,2.2267630537383
26,4.50796991629841
27,2.80209757992225
28,3.30170218601188
29,2.52277550791155
30,3.31358197312784
31,4.15390130080846
32,2.88723139686567
33,3.53267090981785
34,3.5339106939557
35,2.20315654978322
36,3.77150817248776
37,4.61305257219533
38,2.79492800350295
39,2.69469490261667
40,2.64742470502392
41,3.79936193511276
42,2.83575091947409
43,2.60525197542211
44,2.59242774392442
45,3.29732742085253
46,2.96050768368968
47,2.76530220124255
48,4.45655178367088
49,2.47118641450038
50,3.32976643744723
51,3.03192073090236
52,4.05933620316068
53,3.79951974327696
54,2.86182201615475
55,2.84054087072491
56,3.84207939843259
57,2.83363138860204
58,2.7312404082279
59,3.19311188623533
60,3.11769364326574
61,3.54809027019633
62,4.0010226725035
63,3.40756802743181
64,3.0800352160818
65,2.93125044942144
66,3.196556953352
67,2.97060657415068
68,2.41055396877346
69,2.83528414083821
70,3.13896309270922
71,2.8694720313099
72,2.76441314344197
73,2.4808104700769
74,3.21853207729646
75,2.51946145248849
76,2.32101396988196
77,3.18485146257058
78,2.00694930543841
79,3.28149265853267
80,4.1816834542451
81,2.99899865300745
82,3.17331543424825
83,3.85985604589814
84,2.82038566209962
85,6.00549441001885
86,2.79661928943256
87,3.69692510789696
88,3.94162568166848
89,2.98488523219089
90,3.41116132389629
91,3.21528298068688
92,3.11909148936957
93,2.51151339033572
94,2.69285720210974
95,2.05694796029275
96,3.0492863161337
97,2.57262991812604
98,3.00846072228092
99,2.61534489299584
100,3.43211681159369
101,2.72389095927906
102,2.1608924131715
103,2.5966592748066
104,3.15629851753579
105,3.00893738418949
106,3.81107546739349
107,2.56548751635887
108,2.76239838458037
109,3.01149759274335
110,3.00620194111343
111,3.78606379415555
112,4.07799727599536
113,3.96476697022285
114,3.07132566617224
115,2.43414716561279
116,2.90214455549881
117,2.57895008988316
118,3.51475874004677
119,3.29861512880984
120,2.92527233332885
121,4.24411838062656
122,2.87526094908071
123,4.53054224759103
124,3.77523190161128
125,2.66508708369906
126,2.37440871274271
127,3.98228263624628
128,2.74581541246107
129,3.08052911485697
130,2.64383306560808
131,2.59957320336616
132,2.8802812395013
133,2.19840489960029
134,2.78015675244251
135,2.91305976113676
136,2.52332646010723
137,3.31724675308192
138,3.06347119421412
139,2.31722020074085
140,2.6642156971036
141,2.67103701660403
142,3.25888830684698
143,2.24512724662236
144,2.39112369116879
145,2.92551820182393
146,2.95607757501307
147,2.94809682577284
148,3.94134369197991
149,3.42038212292482
150,2.9921467017175
151,3.2441520429868
152,4.79685533747693
153,3.56651420356752
154,3.31241970584415
155,3.90161637869323
156,2.76080665096697
157,2.9704606283301
158,2.62352328829229
159,2.56910782764089
160,3.44094563286421
161,2.79487987069274
162,2.82288882444095
163,2.74025368067009
164,3.07082626168858
165,3.1033236727485
166,3.06609737182407
167,4.02539347275365
168,3.51380117481744
169,3.11068835772608
170,3.24029255250821
171,4.52984697178408
172,3.0901167969073
173,3.01466979250131
174,3.4395284885054
175,2.39559063105548
176,2.20153339646095
177,2.42537625908312
178,2.93675655681886
179,2.63047732635573
180,2.67627029850973
181,3.16237498231476
182,3.95730211306454
183,3.48828476210133
184,2.57544572968595
185,3.65452937815712
186,3.1708057633648
187,2.82049708635554
188,3.65187565091355
189,4.47388574235833
190,3.87440356797856
191,3.23355839935653
192,3.30533372958189
193,2.5873681384619
194,4.2633790728305
195,3.24042377267051
196,4.28529603738389
197,3.80939690848663
198,3.07650569085786
199,2.92030781441372
200,3.94453530556621
201,2.20386829604513
202,2.66388427118613
203,2.75793048135779
204,3.64133438734484
205,3.90230104160378
206,4.80549686750373
207,2.49618007698132
208,2.83001878783443
209,2.26241178725718
210,2.87528810607637
211,2.92051620917164
212,2.15626526308688
213,3.29728765644677
214,2.74716199938325
215,3.00013702404931
216,3.16974248589895
217,3.61361098406587
218,2.43255440535813
219,2.96636310044869
220,2.54745345086394
221,3.34207097166086
222,3.24405444797208
223,3.78298419302132
224,3.34911984517476
225,4.47270636507733
226,4.54289089501344
227,3.7050656895633
228,3.1153308855296
229,2.28005573482665
230,3.36391523509042
231,3.6002672153636
232,4.63515851455008
233,2.41471323428959
234,3.67046244827657
235,4.04634418584214
236,3.32143872618531
237,2.7520675581809
238,2.75039648276834
239,3.65882796213486
240,3.51079055345554
241,3.00012935894233
242,3.76575436221719
243,3.4595230769437
244,2.67905342264271
245,3.30116685381608
246,4.10470244425005
247,3.04661859941484
248,3.42366077171118
249,2.62833997336975
250,3.38804634906614
251,2.41578204154052
252,4.30564671186971
253,2.78171269284121
254,4.04980462563367
255,2.37019425099402
256,2.92334751615704
257,2.99724169706269
258,3.8791253573329
259,3.65593393401673
260,2.92781325624173
261,2.73595637572703
262,3.44197100797032
263,3.34500817311073
264,2.54059594622345
265,3.6348185201964
266,3.16561392649032
267,2.73044308219824
268,3.5463089602099
269,3.04640437947387
270,3.06842195366653
271,4.98726664655442
272,4.52116932539548
273,2.76465898234142
274,2.87086525311611
275,2.54019573889468
276,1.84988228724842
277,4.75284778996456
278,2.89244300094197
279,3.60947179000459
280,2.80064699371496
281,2.88059234349089
282,3.41515171687774
283,6.09233875062387
284,2.97397529303203
285,2.90121050355629
286,4.09488203334945
287,3.84670618480754
288,2.5676805972189
289,3.35309858156052
290,3.94158149720261
291,2.36867758568405
292,2.72203148821154
293,2.43353964585776
294,2.96354687853
295,2.73204155837493
296,2.23313447297755
297,4.1225260971587
298,2.28429048484077
299,3.30677568617079
300,3.57487837762096
301,3.61288830118519
302,2.522587586192
303,2.18928941026843
304,5.30204007948964
305,4.14349705164113
306,3.94072016476366
307,3.65060909692988
308,3.06765038247931
309,3.94234896822081
310,3.78276815181448
311,3.49578659979034
312,3.28824634647799
