"genotype","n","mean","sd","se","min","max"
"BC",251,144.349120560581,4.16093527629624,0.26263590580504,135.515155933521,159.351471662521
"BD",220,145.232054684711,4.28772819527529,0.289078575953437,133.548100789388,156.730479649135
"AC",231,147.306324477274,4.41427489699392,0.290437965049551,135.845026397705,158.563161621094
"AD",232,147.962573966789,4.15392544451206,0.272718566242058,135.978093022886,161.163221617003
