TaxaID	Color
GE1783_0326	0
GE1783_0327	2
GE1783_0328	2
GE1783_0329	2
GE1783_0330	2
GE1783_0331	2
GE1783_0332	0
GE1783_0333	NA
GE1783_0337	2
GE1783_0338	1
GE1783_0339	2
GE1783_0340	1
GE1783_0341	2
GE1783_0342	2
GE1783_0343	0
GE1783_0344	2
GE1783_0345	1
GE1783_0346	1
GE1783_0347	1
GE1783_0348	0
GE1783_0349	2
GE1783_0350	NA
GE1783_0351	1
GE1783_0352	1
GE1783_0353	1
GE1783_0354	2
GE1783_0355	2
GE1783_0356	2
GE1783_0357	2
GE1783_0358	2
GE1783_0359	2
GE1783_0360	0
GE1783_0361	0
GE1783_0362	1
GE1783_0363	1
GE1783_0364	0
GE1783_0365	1
GE1783_0366	1
GE1783_0367	2
GE1783_0368	0
GE1783_0369	NA
GE1783_0370	NA
GE1783_0371	1
GE1783_0372	1
GE1783_0373	0
GE1783_0374	2
GE1783_0375	1
GE1783_0376	2
GE1783_0377	2
GE1783_0378	1
GE1783_0379	2
GE1783_0380	2
GE1783_0381	1
GE1783_0382	1
GE1783_0383	2
GE1783_0384	NA
GE1783_0385	2
GE1783_0386	1
GE1783_0387	1
GE1783_0388	1
GE1783_0389	1
GE1783_0390	1
GE1783_0391	1
GE1783_0392	2
GE1783_0393	2
GE1783_0394	NA
GE1783_0395	2
GE1783_0396	2
GE1783_0397	2
GE1783_0398	2
GE1783_0399	2
GE1783_0400	2
GE1783_0401	2
GE1783_0402	2
GE1783_0403	1
GE1783_0404	0
GE1783_0405	2
GE1783_0406	1
GE1783_0407	1
GE1783_0408	0
GE1783_0409	1
GE1783_0410	1
GE1783_0411	1
GE1783_0412	1
GE1783_0413	1
GE1783_0414	2
GE1783_0415	2
GE1783_0416	1
GE1783_0417	1
GE1783_0418	1
GE1783_0419	0
GE1783_0420	0
GE1783_0421	1
GE1783_0422	NA
GE1783_0423	1
GE1783_0424	1
GE1783_0425	1
GE1783_0426	0
GE1783_0427	1
GE1783_0428	NA
GE1783_0429	2
GE1783_0430	2
GE1783_0431	2
GE1783_0432	1
GE1783_0433	1
GE1783_0434	2
GE1783_0435	2
GE1783_0436	2
GE1783_0437	2
GE1783_0438	1
GE1783_0439	0
GE1783_0440	1
GE1783_0441	1
GE1783_0442	1
GE1783_0443	1
GE1783_0444	2
GE1783_0445	1
GE1783_0446	2
GE1783_0447	1
GE1783_0448	0
GE1783_0449	1
GE1783_0450	1
GE1783_0451	2
GE1783_0452	2
GE1783_0453	1
GE1783_0454	NA
GE1783_0455	1
GE1783_0456	NA
GE1783_0457	0
GE1783_0458	NA
GE1783_0459	2
GE1783_0460	0
GE1783_0461	2
GE1783_0462	2
GE1783_0463	1
GE1783_0464	2
GE1783_0465	2
GE1783_0466	2
GE1783_0467	2
GE1783_0468	2
GE1783_0469	1
GE1783_0470	0
