Genotype_Vine_ID,assigned_vine_id,rgb_r_mean,rgb_r_std,rgb_r_min,rgb_r_max,rgb_r_median,rgb_r_p5,rgb_r_p25,rgb_r_p75,rgb_r_p95,rgb_g_mean,rgb_g_std,rgb_g_min,rgb_g_max,rgb_g_median,rgb_g_p5,rgb_g_p25,rgb_g_p75,rgb_g_p95,rgb_b_mean,rgb_b_std,rgb_b_min,rgb_b_max,rgb_b_median,rgb_b_p5,rgb_b_p25,rgb_b_p75,rgb_b_p95,hsv_h_mean,hsv_h_std,hsv_h_min,hsv_h_max,hsv_h_median,hsv_h_p5,hsv_h_p25,hsv_h_p75,hsv_h_p95,hsv_s_mean,hsv_s_std,hsv_s_min,hsv_s_max,hsv_s_median,hsv_s_p5,hsv_s_p25,hsv_s_p75,hsv_s_p95,hsv_v_mean,hsv_v_std,hsv_v_min,hsv_v_max,hsv_v_median,hsv_v_p5,hsv_v_p25,hsv_v_p75,hsv_v_p95,lab_l_mean,lab_l_std,lab_l_min,lab_l_max,lab_l_median,lab_l_p5,lab_l_p25,lab_l_p75,lab_l_p95,lab_a_mean,lab_a_std,lab_a_min,lab_a_max,lab_a_median,lab_a_p5,lab_a_p25,lab_a_p75,lab_a_p95,lab_b_mean,lab_b_std,lab_b_min,lab_b_max,lab_b_median,lab_b_p5,lab_b_p25,lab_b_p75,lab_b_p95,instance_count,n_side_instance_count,s_side_instance_count
GE1783_0001,row_1_1,75.30595433712006,20.752285435795784,18.78125,172.0625,75.765625,42.1578125,62.078125,88.4453125,106.771875,85.20894396305084,22.76655121147633,21.125,178.15625,86.4375,47.228125,70.4921875,100.8125,118.6375,44.86341005563736,13.127028852701187,10.25,104.5625,45.46875,23.0328125,36.046875,54.2421875,63.89218749999999,37.91419565677643,3.589475959539413,22.5625,52.5,38.28125,31.8890625,36.09375,40.1328125,42.5703125,121.40597009658812,11.758438780903816,76.6875,162.375,120.296875,105.0078125,113.765625,128.0078125,142.18281249999998,85.60499060153961,22.767802342772484,21.46875,178.90625,86.71875,47.940625,70.9140625,101.0546875,119.74843749999998,86.23865568637848,23.346851870417595,16.9375,177.6875,87.84375,46.496875,71.515625,102.3125,120.075,116.94864749908449,3.210328370332718,107.09375,129.3125,116.75,112.3125,114.71875,118.96875,122.6078125,149.6812081336975,5.014289386570454,132.46875,170.65625,149.828125,141.55625,146.75,152.78125,157.28125,32.0,7.0,25.0
GE1783_0002,row_1_2,57.0882525077233,15.346901251719547,15.961538461538462,151.09615384615384,56.88461538461539,33.294230769230765,47.73557692307692,65.83653846153847,79.86153846153844,65.65409102806679,17.471018387721134,18.557692307692307,159.90384615384616,65.75,37.63076923076923,54.51923076923077,76.57692307692308,91.81153846153846,33.9510839168842,9.69071167248946,8.884615384615385,88.73076923076923,34.14423076923077,18.204807692307693,27.677884615384617,40.10096153846154,48.15384615384615,38.01311819369976,4.374642931498014,20.865384615384617,54.48076923076923,38.64423076923077,30.083653846153844,35.73076923076923,40.84615384615385,43.375,123.72982612022987,13.014263318135187,76.51923076923077,166.07692307692307,123.27884615384616,103.59326923076924,115.10576923076924,132.21153846153845,145.4576923076923,66.02708772512582,17.39570850592393,18.692307692307693,161.0,66.11538461538461,38.295192307692304,55.0,76.78365384615384,92.02307692307691,66.37832729633038,18.5815078661992,14.26923076923077,161.09615384615384,66.8173076923077,36.01153846153846,54.75,78.0625,93.7778846153846,118.50437487088718,3.167868818228061,108.09615384615384,129.76923076923077,118.1923076923077,114.0278846153846,116.2548076923077,120.4278846153846,124.16923076923078,145.84558809720554,4.4210023650756245,131.48076923076923,167.09615384615384,145.98076923076923,138.71923076923076,143.28846153846155,148.48557692307693,152.44903846153846,52.0,10.0,42.0
GE1783_0003,row_1_3,57.43586540222168,16.905317578996932,18.571428571428573,161.85714285714286,56.33928571428572,33.473214285714285,47.330357142857146,65.78571428571429,83.52857142857142,63.66332026890346,18.664964846202302,20.428571428571427,170.14285714285714,62.83928571428572,36.39642857142857,51.848214285714285,74.09821428571429,92.05892857142858,32.46519586018154,9.648120607648575,9.642857142857142,90.28571428571428,32.410714285714285,17.93392857142857,26.375,38.05357142857143,46.48928571428571,35.70903846195766,4.915822420801435,19.214285714285715,57.21428571428572,36.410714285714285,26.8625,32.92857142857143,39.02678571428572,42.04642857142857,126.07019206455776,14.101839661598206,69.39285714285714,167.35714285714286,126.125,103.45892857142856,117.00892857142856,135.625,148.48749999999998,64.36672156197685,18.74531432560512,20.857142857142858,171.92857142857142,63.21428571428572,37.3,52.6875,74.60714285714286,92.90178571428572,64.75077819824219,19.813241958618164,16.678571428571427,170.60714285714286,64.19642857142857,34.86785714285714,52.348214285714285,76.0,94.74821428571428,119.67874799455916,3.509269062961851,107.85714285714286,130.92857142857142,119.55357142857144,114.49285714285716,117.25,121.92857142857144,125.67857142857144,145.92490659441268,5.073602335793631,131.82142857142858,169.53571428571428,145.71428571428572,138.10714285714286,142.85714285714286,148.79464285714286,154.10714285714286,28.0,8.0,20.0
GE1783_0004,row_1_4,67.60998083994939,17.31245702963609,22.57692307692308,168.84615384615384,67.25,41.37692307692308,56.56730769230769,77.47115384615384,94.05192307692307,72.79373146937444,18.106379142174355,23.942307692307693,173.65384615384616,72.79807692307692,44.61538461538461,61.23076923076923,83.98557692307692,99.7125,37.79082048856295,10.359012099412771,11.653846153846152,102.96153846153848,38.01923076923077,21.508653846153848,31.01923076923077,44.46153846153846,52.44807692307692,34.63805477435772,4.727653689109362,19.692307692307693,55.86538461538461,34.86538461538461,26.920192307692307,31.76442307692308,37.73557692307692,41.14038461538462,121.7064415858342,13.480750184792738,74.59615384615384,165.6346153846154,120.4423076923077,102.5673076923077,112.8125,129.5721153846154,145.4798076923077,73.62036323547363,18.20842148707463,24.53846153846154,175.84615384615384,73.51923076923077,45.56057692307692,61.88942307692308,84.61057692307692,100.6951923076923,74.81394012157733,19.19016065964332,20.634615384615383,174.44230769230768,75.13461538461539,44.12115384615385,62.71153846153846,86.78846153846153,103.24230769230768,119.73340518657976,2.9272572719133816,108.03846153846152,130.59615384615384,119.65384615384616,115.44903846153846,117.89423076923076,121.46153846153848,124.66826923076924,147.83244441105768,4.495104890603286,132.75,168.19230769230768,147.79807692307693,140.86634615384617,145.30769230769232,150.29326923076923,155.04807692307693,52.0,21.0,31.0
GE1783_0005,row_1_5,55.409436829236085,17.181785466719646,18.714285714285715,172.9387755102041,54.0,32.124489795918365,44.20918367346939,64.37244897959184,83.23469387755101,57.95727877714196,17.991292661550094,19.244897959183675,175.91836734693877,56.642857142857146,32.88979591836735,45.95918367346939,67.74489795918367,87.23571428571427,34.5085460117885,10.882641592804266,9.775510204081632,105.22448979591836,34.36734693877551,18.198979591836736,27.086734693877556,41.22959183673469,50.92551020408163,33.3451664593755,5.424900925889308,16.979591836734695,54.95918367346939,33.56122448979592,24.31020408163265,29.59183673469388,37.045918367346935,41.488775510204086,103.18783974160954,18.077726072194626,58.95918367346939,164.6122448979592,100.20408163265306,79.10204081632654,90.56632653061224,113.01530612244898,138.08265306122448,59.15084103175572,18.306122867428527,20.040816326530614,179.6326530612245,57.68367346938776,34.09897959183673,47.02040816326531,68.86734693877551,89.17755102040815,59.12017518646863,19.42261481771664,16.163265306122447,176.83673469387756,57.94897959183673,31.1734693877551,45.954081632653065,70.0765306122449,90.55306122448978,122.58505326874402,2.8010282078567816,110.24489795918367,131.48979591836735,122.81632653061224,117.9091836734694,120.98979591836736,124.35204081632654,126.74897959183672,141.7489919857103,4.564471512424703,131.69387755102042,167.46938775510205,141.16326530612244,135.84897959183675,138.81632653061226,143.81632653061226,150.07142857142858,49.0,24.0,25.0
GE1783_0006,row_1_6,41.28663212912424,13.648095403398786,12.714285714285714,148.21428571428572,40.017857142857146,23.0875,32.535714285714285,48.25,62.10714285714285,42.896480083465576,14.022963234356473,13.035714285714286,150.82142857142858,42.10714285714285,22.998214285714287,33.92857142857143,50.40178571428572,63.53749999999999,28.895746571677076,9.482925159590584,7.392857142857143,94.46428571428572,29.035714285714285,14.248214285714283,22.339285714285715,35.169642857142854,42.38392857142857,34.85978664670672,8.680138758250646,13.0,73.17857142857143,34.82142857142857,21.448214285714283,29.232142857142858,40.07142857142857,47.56607142857143,85.78749629429409,23.658116510936196,33.92857142857143,163.71428571428572,80.07142857142857,56.81071428571429,68.76785714285714,98.19642857142856,133.5125,43.88228927339826,14.353886314800809,13.5,153.96428571428572,42.85714285714285,24.28392857142857,34.6875,51.125,65.75535714285714,42.7149589402335,15.751330801418847,9.535714285714286,153.25,42.25,19.53214285714285,32.61607142857143,51.50892857142857,66.37857142857143,124.45915739876884,2.5456105215208877,111.32142857142856,134.03571428571428,124.57142857142856,120.47142857142856,123.14285714285714,125.82142857142856,128.25,136.56573159354073,3.96444319827216,128.07142857142858,160.57142857142858,136.0,131.67857142857142,134.17857142857142,137.96428571428572,143.8875,28.0,12.0,16.0
GE1783_0007,row_1_7,48.732086454119,18.05364467984154,14.285714285714286,159.04761904761904,47.285714285714285,24.13809523809524,36.96428571428572,58.16666666666666,77.46666666666665,51.80642327808199,18.84346948351179,16.095238095238095,163.42857142857142,50.11904761904762,25.98333333333333,38.94047619047619,62.5,81.63333333333333,31.185312634422665,12.155095213935487,8.095238095238095,99.9047619047619,30.571428571428573,13.66190476190476,22.33333333333333,39.023809523809526,50.0547619047619,35.18418757120768,6.783094088236491,17.0,58.142857142857146,35.61904761904762,23.78333333333333,30.52380952380953,39.71428571428572,45.44285714285714,102.78359803699313,19.07488554999942,59.04761904761905,162.95238095238096,98.9047619047619,77.50952380952381,88.91666666666667,114.46428571428572,139.53809523809522,52.58515530540829,19.096911748250324,16.142857142857142,165.76190476190476,50.69047619047619,26.48809523809524,39.892857142857146,63.142857142857146,83.00238095238095,52.11581311907087,20.70721576327369,12.0,164.95238095238096,50.85714285714285,22.60952380952381,37.88095238095238,64.32142857142857,85.07380952380952,122.76377941313244,2.9432868162790933,110.1904761904762,131.95238095238096,122.92857142857144,118.14047619047618,120.8095238095238,124.61904761904762,127.23809523809524,140.10730852399553,4.477331797281901,130.71428571428572,163.76190476190476,139.52380952380952,134.28571428571428,137.33333333333334,141.8095238095238,147.93571428571428,21.0,5.0,16.0
GE1783_0008,row_1_8,66.3933778490339,24.42483275277274,26.142857142857142,197.0,63.142857142857146,36.635714285714286,50.17857142857143,77.42857142857143,109.48571428571428,71.45403671264648,26.41507080623082,27.142857142857142,202.28571428571428,68.28571428571429,38.207142857142856,52.85714285714285,84.28571428571429,118.74285714285712,36.3376932144165,14.570276805332728,12.571428571428571,148.0,34.57142857142857,18.7,26.571428571428573,43.71428571428572,58.6785714285714,35.97611945016043,5.735644442694528,14.714285714285714,57.71428571428572,36.42857142857143,25.92142857142857,32.142857142857146,39.71428571428572,43.85714285714285,115.75821576799665,18.47017410823277,52.85714285714285,166.14285714285714,113.42857142857144,89.0,102.71428571428572,128.46428571428572,147.0,73.05910927908761,26.5838166645595,27.571428571428573,202.28571428571428,70.14285714285714,39.207142857142856,54.57142857142857,86.0,120.5,72.129971912929,27.121171951293945,25.571428571428573,201.0,69.07142857142857,37.35,53.0,85.57142857142857,120.47142857142856,120.14849199567524,4.191712822232928,104.85714285714286,134.0,120.42857142857144,112.71428571428572,117.71428571428572,122.85714285714286,126.14285714285714,146.95905194963728,6.613654681614468,134.28571428571428,173.0,146.14285714285714,138.71428571428572,142.57142857142858,149.85714285714286,159.71428571428572,7.0,1.0,6.0
GE1783_0009,row_1_10,70.5011413473832,20.954193027395952,20.31578947368421,171.21052631578948,69.34210526315789,39.002631578947366,56.35526315789474,82.82236842105263,105.91973684210524,79.64280198749744,23.39506412807264,22.473684210526315,176.73684210526315,79.13157894736842,43.267105263157895,63.56578947368421,94.32894736842104,118.45789473684208,39.18264805643182,12.307058936671206,10.36842105263158,107.34210526315788,39.19736842105263,20.246052631578948,30.55921052631579,47.08552631578947,58.32631578947369,36.27364143572356,4.447600640748677,19.473684210526315,52.21052631578947,36.89473684210526,28.017105263157895,34.06578947368421,39.22368421052632,41.97368421052632,126.50603846499794,14.014633216355977,76.94736842105263,167.81578947368422,126.22368421052632,105.11578947368422,116.63815789473684,135.44736842105263,150.2986842105263,80.19385147094727,23.313064525001927,22.63157894736842,177.94736842105263,79.57894736842105,43.98684210526316,64.27631578947368,94.79605263157896,118.87236842105264,80.39644863730983,24.013410267077,18.81578947368421,177.28947368421052,80.3157894736842,42.19736842105263,64.08552631578948,95.71710526315788,119.5723684210526,117.41453552246094,3.776937779627348,106.76315789473684,130.5,117.05263157894736,111.8736842105263,114.89473684210526,119.65789473684212,124.08947368421052,149.84920742637232,5.841755515650699,133.3684210526316,170.60526315789474,149.71052631578948,140.59605263157894,145.97368421052633,153.59868421052633,159.48157894736843,38.0,12.0,26.0
GE1783_0010,row_1_9,64.45642522176107,20.295384311676024,20.266666666666666,171.16666666666666,62.48333333333333,35.95666666666667,51.31666666666667,75.175,98.93,69.98394781748453,22.19998237291972,21.6,178.36666666666667,68.01666666666667,37.90833333333333,55.29166666666666,82.53333333333333,107.42333333333332,38.395139630635576,12.889483833312989,10.666666666666666,112.03333333333332,37.766666666666666,19.50333333333333,29.75,46.075,58.66499999999999,33.73179531097412,5.494149172306061,18.0,55.06666666666667,33.93333333333333,24.825,29.925,37.61666666666667,42.06166666666666,112.24095204671224,17.75257158279419,59.93333333333333,162.96666666666667,110.38333333333334,86.36,99.45,124.70833333333331,142.47666666666666,71.24174772898355,22.11680138905843,22.5,179.66666666666666,69.15,39.52666666666666,56.85833333333333,83.51666666666667,108.84166666666664,71.04476051330566,23.12651108105977,18.566666666666663,178.33333333333334,69.33333333333333,36.78666666666666,55.96666666666667,84.4,109.73666666666666,120.26288477579752,3.458723588784536,107.86666666666666,130.46666666666667,120.2,114.62833333333332,118.13333333333334,122.50833333333334,125.6,145.57002868652344,5.314310944080352,133.26666666666668,167.26666666666668,144.98333333333332,138.09166666666667,142.0,148.40833333333333,155.1,30.0,10.0,20.0
