Genotype_Vine_ID,assigned_vine_id,rgb_r_mean,rgb_r_std,rgb_r_min,rgb_r_max,rgb_r_median,rgb_r_p5,rgb_r_p25,rgb_r_p75,rgb_r_p95,rgb_g_mean,rgb_g_std,rgb_g_min,rgb_g_max,rgb_g_median,rgb_g_p5,rgb_g_p25,rgb_g_p75,rgb_g_p95,rgb_b_mean,rgb_b_std,rgb_b_min,rgb_b_max,rgb_b_median,rgb_b_p5,rgb_b_p25,rgb_b_p75,rgb_b_p95,hsv_h_mean,hsv_h_std,hsv_h_min,hsv_h_max,hsv_h_median,hsv_h_p5,hsv_h_p25,hsv_h_p75,hsv_h_p95,hsv_s_mean,hsv_s_std,hsv_s_min,hsv_s_max,hsv_s_median,hsv_s_p5,hsv_s_p25,hsv_s_p75,hsv_s_p95,hsv_v_mean,hsv_v_std,hsv_v_min,hsv_v_max,hsv_v_median,hsv_v_p5,hsv_v_p25,hsv_v_p75,hsv_v_p95,lab_l_mean,lab_l_std,lab_l_min,lab_l_max,lab_l_median,lab_l_p5,lab_l_p25,lab_l_p75,lab_l_p95,lab_a_mean,lab_a_std,lab_a_min,lab_a_max,lab_a_median,lab_a_p5,lab_a_p25,lab_a_p75,lab_a_p95,lab_b_mean,lab_b_std,lab_b_min,lab_b_max,lab_b_median,lab_b_p5,lab_b_p25,lab_b_p75,lab_b_p95,instance_count,n_side_instance_count,s_side_instance_count
GE1783_0001,row_1_1,77.08760528564453,20.90672143936157,19.32,168.96,77.7,43.17,63.66,90.77,108.41599999999998,87.06170303344726,23.12329679489136,21.44,174.24,88.44,48.276,71.96,103.28,121.19399999999996,46.613395843505856,13.447092208862305,10.52,102.36,47.44,24.002,37.58,56.31,66.166,38.086235198974606,3.59265643119812,22.72,53.08,38.4,32.258,36.2,40.25,42.77,118.80827209472656,11.513373622894289,77.08,160.6,117.66,102.884,111.48,125.21,139.16,87.43175048828125,23.01694002151489,21.88,175.2,88.72,49.026,72.41,103.51,121.71399999999998,88.01353500366211,23.57984697341919,17.4,174.04,89.76,47.56399999999999,73.02,104.56,122.176,116.92928955078123,3.199668407440185,107.36,129.08,116.84,112.2,114.68,119.0,122.418,149.61058532714844,4.959985780715942,132.52,170.0,149.78,141.56,146.68,152.76,157.06799999999998,25.0,5.0,20.0
GE1783_0002,row_1_2,57.311617357977504,14.996265674459524,15.172413793103448,150.89655172413794,57.310344827586206,33.47931034482759,48.206896551724135,66.01724137931035,79.3603448275862,65.95110136887124,17.253283763753956,17.482758620689655,161.79310344827587,66.62068965517241,37.67068965517242,54.82758620689656,77.16379310344827,91.14655172413794,34.71614923148319,9.489117309964936,8.482758620689655,89.27586206896552,35.27586206896552,18.653448275862072,28.689655172413797,40.97413793103448,48.39137931034482,38.207067555394666,4.333720396304953,20.344827586206897,54.82758620689656,38.93103448275862,30.279310344827586,35.96551724137931,41.06896551724138,43.48275862068966,121.13466881061424,12.917144808275946,71.48275862068965,165.44827586206895,120.67241379310344,100.76724137931036,112.88793103448276,129.26724137931035,142.7551724137931,66.28232377150962,17.115886030525996,17.586206896551722,162.44827586206895,66.89655172413794,38.439655172413794,55.28448275862069,77.25,91.25,66.87677764892578,18.35811105267755,13.275862068965518,162.58620689655172,67.89655172413794,36.24310344827586,55.241379310344826,78.80172413793103,93.25689655172413,118.50495226629847,3.160760423232769,107.79310344827586,129.68965517241378,118.17241379310344,114.06896551724138,116.24137931034484,120.45689655172414,124.18448275862067,145.61022843985722,4.407004356384277,131.20689655172413,168.3448275862069,145.86206896551724,138.52758620689656,143.0344827586207,148.20689655172413,152.06896551724137,29.0,3.0,26.0
GE1783_0003,row_1_3,58.58598526664402,17.76508849600087,18.17391304347826,171.17391304347825,57.65217391304348,33.19782608695652,47.92391304347826,67.34782608695652,85.56304347826087,65.10964567764945,19.54144162717073,20.17391304347826,179.17391304347825,64.58695652173913,36.31304347826087,52.60869565217392,76.16304347826087,94.45434782608696,33.38914423403533,10.052370340927787,9.608695652173912,94.91304347826087,33.52173913043478,17.982608695652175,26.97826086956522,39.35869565217392,47.81304347826086,35.91210274074388,5.034930415775465,19.043478260869566,59.17391304347826,36.60869565217392,26.956521739130437,33.04347826086956,39.29347826086956,42.36086956521739,125.35398300834323,14.193501534669297,66.69565217391305,167.69565217391303,125.28260869565216,102.7891304347826,116.44565217391305,134.7608695652174,148.08695652173913,65.8721286939538,19.64651995119841,20.43478260869565,181.34782608695653,65.0,37.17173913043479,53.53260869565217,76.69565217391305,95.43695652173912,66.25346374511719,20.68169585518215,16.434782608695652,179.2173913043478,66.02173913043478,34.6695652173913,53.21739130434783,78.07608695652173,97.16304347826087,119.481991643491,3.624685489613077,107.2608695652174,131.2608695652174,119.32608695652172,114.09782608695652,116.95652173913044,121.82608695652172,125.66739130434782,146.1228790283203,5.29625703977502,131.43478260869566,171.56521739130434,145.95652173913044,137.91304347826087,142.91304347826087,149.05434782608697,154.65217391304347,23.0,7.0,16.0
GE1783_0004,row_1_4,66.88364889183823,17.22652596843486,22.22448979591837,168.16326530612244,66.51020408163265,40.8734693877551,55.86734693877551,76.6734693877551,93.19795918367346,72.181310692612,18.05008927170111,23.53061224489796,173.40816326530611,72.1734693877551,44.06122448979592,60.63265306122449,83.32142857142857,98.96020408163264,37.48104636523188,10.375229222433909,11.448979591836734,102.93877551020408,37.69387755102041,21.21122448979592,30.6530612244898,44.18367346938776,52.16938775510204,34.74904761022451,4.656542906955797,19.897959183673468,54.755102040816325,34.97959183673469,27.139795918367344,31.95408163265306,37.78061224489796,41.18979591836735,121.56747436523438,13.39784915106637,75.61224489795919,165.20408163265307,120.22448979591836,102.68367346938776,112.69897959183672,129.32142857142858,145.40714285714284,72.9684163307657,18.132811565788423,24.163265306122447,175.59183673469389,72.87755102040816,45.02142857142857,61.25,83.91326530612245,99.88061224489796,74.17778194193937,19.1455730321456,20.10204081632653,174.0612244897959,74.51020408163265,43.577551020408166,62.07142857142857,86.12244897959184,102.4816326530612,119.71778059978874,2.875291128547824,108.06122448979592,130.48979591836735,119.63265306122447,115.53775510204082,117.94897959183672,121.3877551020408,124.60714285714286,147.67837213010205,4.454987934657505,132.73469387755102,168.0,147.62244897959184,140.7969387755102,145.18367346938774,150.08673469387756,154.8265306122449,49.0,20.0,29.0
GE1783_0005,row_1_5,54.977018868050926,16.974025237851027,18.804878048780488,172.97560975609755,53.4390243902439,31.99756097560976,44.073170731707314,63.59146341463415,83.11951219512194,57.40579935399497,17.636027824587938,19.29268292682927,173.8048780487805,55.9390243902439,32.7609756097561,45.926829268292686,66.8170731707317,86.58170731707315,34.258451554833385,10.731446934909355,9.560975609756095,105.3170731707317,34.21951219512195,17.96951219512195,26.98170731707317,40.88414634146341,50.49512195121952,33.4983845687494,5.501003189784725,16.609756097560975,55.41463414634146,33.76829268292683,24.297560975609755,29.70731707317073,37.28658536585366,41.73780487804878,102.65652986852136,17.91211619028231,58.68292682926829,164.6829268292683,99.51219512195122,79.0,90.14024390243902,112.3109756097561,137.39268292682925,58.648687734836486,17.993075754584336,20.170731707317078,178.0487804878049,57.01219512195122,33.99146341463415,46.926829268292686,68.01219512195122,88.67682926829266,58.5591501375524,19.06876412833609,16.341463414634145,175.09756097560975,57.28048780487805,31.065853658536582,45.89024390243903,69.1951219512195,89.89390243902439,122.6761930512219,2.75565841430571,110.60975609756098,131.85365853658536,122.92682926829268,118.01341463414634,121.1219512195122,124.34756097560977,126.79756097560976,141.60816397318027,4.46360552601698,131.9268292682927,167.1951219512195,140.9268292682927,135.9329268292683,138.82926829268294,143.58536585365854,149.9268292682927,41.0,20.0,21.0
GE1783_0006,row_1_6,42.78368437290192,14.53034484386444,12.125,166.4375,41.375,24.2,33.625,49.828125,64.7375,44.29433524608612,14.694940984249117,12.6875,169.625,43.25,24.09375,35.125,51.65625,65.69687499999999,29.361323475837708,9.552442222833632,7.125,104.5625,29.625,14.5,22.65625,35.5625,42.7375,34.47585105895996,8.740177184343338,12.25,75.5,34.375,20.88125,28.78125,39.875,46.95625,88.53996467590332,25.14697802066803,31.8125,167.75,82.625,57.2,70.0,102.609375,138.09375,45.45248365402222,15.16686549782753,12.9375,172.0,44.25,25.375,35.953125,52.71875,68.58749999999998,44.36652219295502,16.416843235492706,9.1875,170.8125,43.75,20.715625000000003,33.890625,53.0,68.75625000000001,124.3597764968872,2.7598967105150223,109.5,135.5625,124.4375,120.13125,122.9375,125.8125,128.375,137.15212535858154,4.358265027403832,127.9375,165.1875,136.5625,132.0,134.4375,138.6875,145.375,16.0,5.0,11.0
GE1783_0007,row_1_7,52.76172041893005,19.287581741809845,15.1875,170.3125,51.5,25.93125,39.96875,63.25,83.34062499999999,55.98350477218628,20.11085134744644,16.875,173.25,54.53125,28.0375,42.0625,67.875,87.6625,33.56718611717224,13.11817416548729,8.6875,106.5,33.0,14.771875,23.8125,42.34375,54.07812499999999,34.94524526596069,6.71380627155304,16.75,57.5,35.375,23.734375,30.3125,39.375,45.0,104.46099281311037,18.246294677257534,62.375,162.375,100.75,80.003125,91.328125,115.84375,139.525,56.81764888763428,20.32373744249344,16.9375,175.625,55.15625,28.481250000000003,43.0625,68.609375,88.971875,56.832937717437744,21.96719002723694,12.8125,174.125,55.9375,24.90625,41.65625,70.359375,91.49374999999998,122.41052341461182,3.072220057249069,109.1875,132.125,122.59375,117.559375,120.375,124.3125,127.1875,141.13472747802734,4.563100039958954,130.8125,165.375,140.625,135.0625,138.3125,142.9375,149.059375,16.0,5.0,11.0
GE1783_0008,row_1_8,54.94346046447754,26.153103510538735,24.33333333333333,234.33333333333331,48.333333333333336,31.33333333333333,39.083333333333336,62.333333333333336,103.25,61.80080922444662,27.493872960408527,26.0,241.0,55.0,34.0,44.333333333333336,71.0,111.88333333333333,32.88031164805094,16.958242416381836,13.0,194.0,29.0,16.816666666666666,22.33333333333333,39.333333333333336,58.36666666666665,37.340901692708336,5.831234693527222,12.0,59.66666666666666,37.66666666666666,27.33333333333333,33.0,41.333333333333336,46.0,108.98192087809244,20.36174201965332,30.666666666666668,165.0,106.33333333333331,80.66666666666667,94.33333333333331,121.66666666666669,144.0,62.16238911946615,27.946901321411133,26.0,241.0,55.66666666666666,34.0,44.66666666666666,71.33333333333333,113.55,61.25819206237793,28.35870933532715,24.666666666666668,239.0,54.333333333333336,32.666666666666664,43.0,71.0,113.58333333333331,120.25112660725912,3.424525737762451,102.33333333333331,135.33333333333334,120.33333333333331,114.33333333333331,118.66666666666669,122.33333333333331,124.66666666666669,143.3950653076172,6.343942324320476,133.0,176.0,141.66666666666666,137.0,139.66666666666666,145.33333333333334,156.66666666666666,3.0,0.0,3.0
GE1783_0009,row_1_10,70.56260656541393,21.608680202114968,18.870967741935484,175.2258064516129,69.06451612903226,38.36774193548387,55.846774193548384,83.20161290322581,107.56774193548384,79.47219996298513,24.175327916299143,20.677419354838708,180.7741935483871,78.48387096774194,42.32903225806452,62.83064516129032,94.68548387096774,120.14838709677416,39.159281392251295,12.602353142153833,9.709677419354838,110.0,38.83870967741935,20.0258064516129,30.36290322580645,47.21774193548387,59.314516129032256,35.99719256739463,4.415862360308247,18.967741935483872,52.45161290322581,36.564516129032256,27.848387096774196,33.70967741935484,39.0,41.774193548387096,126.98334404730028,13.997184338108186,75.51612903225806,167.90322580645162,126.93548387096774,105.1467741935484,117.0725806451613,136.32258064516128,150.0,80.04029796969506,24.10031057173206,20.806451612903224,182.1290322580645,78.96774193548387,43.02741935483871,63.53225806451613,95.19354838709675,120.57903225806452,80.42950390231225,24.84664901610344,16.677419354838708,181.29032258064515,79.98387096774194,41.266129032258064,63.4758064516129,96.2983870967742,121.49193548387096,117.50262672670426,3.836027445331697,106.2258064516129,131.06451612903226,117.16129032258064,111.71612903225804,114.96774193548389,119.87096774193547,124.15322580645162,149.87266786636846,6.042155027389526,132.61290322580646,171.74193548387098,149.67741935483872,140.42903225806452,145.8709677419355,153.7258064516129,159.9741935483871,31.0,9.0,22.0
GE1783_0010,row_1_9,66.61020299008018,21.342462238512542,18.68421052631579,182.6315789473684,65.05263157894737,35.97894736842105,52.8421052631579,78.17105263157895,101.73421052631576,71.02163997449372,23.52020620044909,19.473684210526315,189.47368421052636,69.42105263157895,36.65526315789474,55.42105263157895,84.42105263157895,109.61315789473684,39.21424152976588,13.65084043302034,9.789473684210526,121.21052631578948,38.78947368421053,18.86315789473684,30.144736842105264,47.47368421052632,60.11315789473684,32.47449071783768,5.877850921530473,15.421052631578949,55.8421052631579,32.68421052631579,22.89210526315789,28.355263157894736,36.8421052631579,41.439473684210526,114.14710556833369,19.19155045559532,59.578947368421055,169.26315789473685,111.78947368421052,86.1078947368421,99.89473684210526,128.31578947368422,146.9921052631579,72.82745080245168,23.363505865398206,20.63157894736842,190.8947368421053,71.0,39.02368421052632,57.68421052631579,85.86842105263158,111.6657894736842,72.30820033424779,24.46561030337685,16.473684210526315,189.31578947368425,71.0,35.626315789473686,56.22368421052632,86.63157894736842,112.1657894736842,120.79556916889392,3.892146248566477,107.21052631578948,132.6315789473684,120.78947368421052,114.4657894736842,118.47368421052632,123.21052631578948,126.84210526315788,145.82512062474302,5.658607846812198,132.42105263157896,168.73684210526315,145.3421052631579,137.86315789473684,142.0,149.05263157894737,155.8421052631579,19.0,6.0,13.0
